M,N,K,BR_STRIDE,LDA,LDB,LDC,TRANS_A,TRANS_B,TIME_S,GFLOPS
64,1,16,16,64,16,64,0,0,0.950781,38.2937
64,1,32,16,64,32,64,0,0,1.04523,33.8917
64,1,64,16,64,64,64,0,0,0.916328,24.2437
64,1,128,16,64,128,64,0,0,0.848865,23.219
1,2,1,16,1,1,1,0,0,0.908607,3.37022
1,2,16,16,1,16,1,0,0,0.722746,4.14638
1,2,32,16,1,32,1,0,0,0.718675,4.35599
1,2,64,16,1,64,1,0,0,0.72105,4.36969
1,2,128,16,1,128,1,0,0,0.828388,4.3788
2,2,1,16,2,1,2,0,0,0.844054,7.25593
2,2,16,16,2,16,2,0,0,0.806538,8.705
2,2,32,16,2,32,2,0,0,0.231147,8.73265
2,2,64,16,2,64,2,0,0,0.720136,8.75048
2,2,128,16,2,128,2,0,0,0.952678,8.76323
3,2,1,16,3,1,3,0,0,0.921051,10.022
3,2,16,16,3,16,3,0,0,0.735236,12.6921
3,2,32,16,3,32,3,0,0,0.928942,12.8004
3,2,64,16,3,64,3,0,0,0.724687,12.9605
3,2,128,16,3,128,3,0,0,1.02396,12.8574
4,2,1,16,4,1,4,0,0,0.840171,14.5789
4,2,16,16,4,16,4,0,0,0.791845,16.5527
4,2,32,16,4,32,4,0,0,0.700882,17.6398
4,2,64,16,4,64,4,0,0,0.803703,17.5981
4,2,128,16,4,128,4,0,0,1.017,17.5349
5,2,1,16,5,1,5,0,0,0.772036,16.5795
5,2,16,16,5,16,5,0,0,0.744425,20.8924
5,2,32,16,5,32,5,0,0,0.223566,20.8984
5,2,64,16,5,64,5,0,0,1.0366,21.2623
5,2,128,16,5,128,5,0,0,1.04574,21.2192
6,2,1,16,6,1,6,0,0,0.717998,21.3928
6,2,16,16,6,16,6,0,0,0.748801,25.2465
6,2,32,16,6,32,6,0,0,0.939171,25.5295
6,2,64,16,6,64,6,0,0,0.905148,25.6556
6,2,128,16,6,128,6,0,0,1.05163,25.4929
7,2,1,16,7,1,7,0,0,0.787111,22.7668
7,2,16,16,7,16,7,0,0,0.153736,24.0139
7,2,32,16,7,32,7,0,0,0.944523,23.9666
7,2,64,16,7,64,7,0,0,0.947987,23.879
7,2,128,16,7,128,7,0,0,1.04034,23.7505
8,2,1,16,8,1,8,0,0,0.857354,28.5735
8,2,16,16,8,16,8,0,0,0.16119,32.2679
8,2,32,16,8,32,8,0,0,0.713729,35.0894
8,2,64,16,8,64,8,0,0,1.01512,34.8971
8,2,128,16,8,128,8,0,0,0.921437,34.9073
9,2,1,16,9,1,9,0,0,0.780236,29.5295
9,2,16,16,9,16,9,0,0,0.745562,36.6256
9,2,32,16,9,32,9,0,0,1.04161,37.5865
9,2,64,16,9,64,9,0,0,0.976119,37.4513
9,2,128,16,9,128,9,0,0,0.953463,37.5681
10,2,1,16,10,1,10,0,0,0.724658,35.327
10,2,16,16,10,16,10,0,0,0.957022,41.4241
10,2,32,16,10,32,10,0,0,0.952229,41.9657
10,2,64,16,10,64,10,0,0,1.05974,41.7848
10,2,128,16,10,128,10,0,0,1.0119,41.7839
11,2,1,16,11,1,11,0,0,0.594659,35.5517
11,2,16,16,11,16,11,0,0,0.96811,36.7384
11,2,32,16,11,32,11,0,0,0.756386,36.6569
11,2,64,16,11,64,11,0,0,1.0681,36.678
11,2,128,16,11,128,11,0,0,0.966131,36.818
12,2,1,16,12,1,12,0,0,0.731583,41.9911
12,2,16,16,12,16,12,0,0,0.724505,47.8841
12,2,32,16,12,32,12,0,0,0.737739,50.9211
12,2,64,16,12,64,12,0,0,0.942685,51.284
12,2,128,16,12,128,12,0,0,1.04495,50.9642
13,2,1,16,13,1,13,0,0,0.671956,42.4033
13,2,16,16,13,16,13,0,0,0.761562,51.7922
13,2,32,16,13,32,13,0,0,0.76446,52.5614
13,2,64,16,13,64,13,0,0,1.0761,53.0132
13,2,128,16,13,128,13,0,0,0.999086,53.2941
14,2,1,16,14,1,14,0,0,0.625244,49.0768
14,2,16,16,14,16,14,0,0,0.973766,56.9966
14,2,32,16,14,32,14,0,0,1.07037,57.3966
14,2,64,16,14,64,14,0,0,1.07099,57.3695
14,2,128,16,14,128,14,0,0,1.07584,57.1076
15,2,1,16,15,1,15,0,0,0.690234,47.795
15,2,16,16,15,16,15,0,0,0.774118,49.1015
15,2,32,16,15,32,15,0,0,0.976647,49.6677
15,2,64,16,15,64,15,0,0,1.03014,49.5288
15,2,128,16,15,128,15,0,0,0.979562,49.1128
16,2,1,16,16,1,16,0,0,0.662922,53.0817
16,2,16,16,16,16,16,0,0,0.765296,62.6718
16,2,32,16,16,32,16,0,0,0.985671,66.4887
16,2,64,16,16,64,16,0,0,1.06169,66.7328
16,2,128,16,16,128,16,0,0,1.07913,64.4933
17,2,1,16,17,1,17,0,0,0.666274,32.6592
17,2,16,16,17,16,17,0,0,0.731398,36.6169
17,2,32,16,17,32,17,0,0,0.975228,36.4587
17,2,64,16,17,64,17,0,0,1.02481,36.399
17,2,128,16,17,128,17,0,0,1.04279,35.6531
18,2,1,16,18,1,18,0,0,0.88199,34.8303
18,2,16,16,18,16,18,0,0,0.728279,39.1841
18,2,32,16,18,32,18,0,0,0.940308,38.248
18,2,64,16,18,64,18,0,0,1.02121,38.6762
18,2,128,16,18,128,18,0,0,1.04642,37.8296
19,2,1,16,19,1,19,0,0,0.86999,33.5184
19,2,16,16,19,16,19,0,0,0.74326,38.7801
19,2,32,16,19,32,19,0,0,0.95634,39.3772
19,2,64,16,19,64,19,0,0,1.0613,39.4604
19,2,128,16,19,128,19,0,0,1.06395,38.5822
20,2,1,16,20,1,20,0,0,0.619823,41.3021
20,2,16,16,20,16,20,0,0,0.933152,40.2109
20,2,32,16,20,32,20,0,0,1.02618,42.9609
20,2,64,16,20,64,20,0,0,1.03458,42.9937
20,2,128,16,20,128,20,0,0,0.970124,41.0654
21,2,1,16,21,1,21,0,0,0.922436,31.7432
21,2,16,16,21,16,21,0,0,0.96356,43.1919
21,2,32,16,21,32,21,0,0,1.06274,43.167
21,2,64,16,21,64,21,0,0,1.06112,43.7179
21,2,128,16,21,128,21,0,0,1.07666,42.1401
22,2,1,16,22,1,22,0,0,0.726829,38.7436
22,2,16,16,22,16,22,0,0,0.753474,45.9982
22,2,32,16,22,32,22,0,0,1.05919,45.5734
22,2,64,16,22,64,22,0,0,1.06054,45.8246
22,2,128,16,22,128,22,0,0,1.07943,44.2282
23,2,1,16,23,1,23,0,0,0.946308,37.3923
23,2,16,16,23,16,23,0,0,0.965458,42.4254
23,2,32,16,23,32,23,0,0,0.962249,42.7192
23,2,64,16,23,64,23,0,0,0.696422,42.661
23,2,128,16,23,128,23,0,0,0.980349,40.8554
24,2,1,16,24,1,24,0,0,0.690079,48.599
24,2,16,16,24,16,24,0,0,0.925071,47.9368
24,2,32,16,24,32,24,0,0,1.03667,51.026
24,2,64,16,24,64,24,0,0,1.05097,50.788
24,2,128,16,24,128,24,0,0,1.02693,48.5708
25,2,1,16,25,1,25,0,0,0.629304,43.5358
25,2,16,16,25,16,25,0,0,0.965028,50.9365
25,2,32,16,25,32,25,0,0,0.969103,51.1297
25,2,64,16,25,64,25,0,0,1.07413,51.3013
25,2,128,16,25,128,25,0,0,0.749094,48.496
26,2,1,16,26,1,26,0,0,0.972169,45.6437
26,2,16,16,26,16,26,0,0,0.974263,53.3216
26,2,32,16,26,32,26,0,0,1.06898,53.3719
26,2,64,16,26,64,26,0,0,1.06922,53.5953
26,2,128,16,26,128,26,0,0,1.08955,50.4478
27,2,1,16,27,1,27,0,0,0.680114,43.5806
27,2,16,16,27,16,27,0,0,0.966671,49.3892
27,2,32,16,27,32,27,0,0,1.06596,49.8024
27,2,64,16,27,64,27,0,0,1.06696,49.9523
27,2,128,16,27,128,27,0,0,0.982116,47.0827
28,2,1,16,28,1,28,0,0,0.643953,55.6563
28,2,16,16,28,16,28,0,0,0.941373,55.3775
28,2,32,16,28,32,28,0,0,1.0503,58.764
28,2,64,16,28,64,28,0,0,0.725747,58.6199
28,2,128,16,28,128,28,0,0,0.979936,54.8076
29,2,1,16,29,1,29,0,0,0.646122,52.9985
29,2,16,16,29,16,29,0,0,0.943246,60.9305
29,2,32,16,29,32,29,0,0,1.08222,60.1419
29,2,64,16,29,64,29,0,0,1.07825,59.548
29,2,128,16,29,128,29,0,0,1.09284,53.1832
30,2,1,16,30,1,30,0,0,0.712468,53.8972
30,2,16,16,30,16,30,0,0,0.934602,63.1136
30,2,32,16,30,32,30,0,0,1.07488,61.5153
30,2,64,16,30,64,30,0,0,1.07825,61.4615
30,2,128,16,30,128,30,0,0,1.05862,55.2189
31,2,1,16,31,1,31,0,0,0.663177,51.3149
31,2,16,16,31,16,31,0,0,0.963374,57.3058
31,2,32,16,31,32,31,0,0,1.07268,57.7427
31,2,64,16,31,64,31,0,0,0.805327,55.8934
31,2,128,16,31,128,31,0,0,0.993468,51.4669
32,2,1,16,32,1,32,0,0,0.721953,56.735
32,2,16,16,32,16,32,0,0,0.928181,62.3075
32,2,32,16,32,32,32,0,0,1.0643,66.2684
32,2,64,16,32,64,32,0,0,1.07592,63.559
32,2,128,16,32,128,32,0,0,1.00924,57.7207
33,2,1,16,33,1,33,0,0,0.688873,43.3034
33,2,16,16,33,16,33,0,0,0.941633,47.8488
33,2,32,16,33,32,33,0,0,1.05559,47.4224
33,2,64,16,33,64,33,0,0,1.05957,45.8334
33,2,128,16,33,128,33,0,0,0.977904,40.161
34,2,1,16,34,1,34,0,0,0.905992,44.3953
34,2,16,16,34,16,34,0,0,0.936734,45.7445
34,2,32,16,34,32,34,0,0,0.953386,49.1001
34,2,64,16,34,64,34,0,0,0.967117,47.0847
34,2,128,16,34,128,34,0,0,0.97734,41.1773
35,2,1,16,35,1,35,0,0,0.700143,42.658
35,2,16,16,35,16,35,0,0,0.939257,45.7912
35,2,32,16,35,32,35,0,0,0.962813,48.6846
35,2,64,16,35,64,35,0,0,0.982349,46.2671
