M,N,K,LDA,LDB,LDC,TRANS_A,TRANS_B,TIME_S,GFLOPS
47,1,64,47,64,47,0,0,1.86712,35.9808
47,1,128,47,128,47,0,0,1.88007,34.5094
48,1,1,48,1,48,0,0,0.988811,15.5338
48,1,16,48,16,48,0,0,1.34544,49.7444
48,1,32,48,32,48,0,0,1.37875,46.5156
48,1,64,48,64,48,0,0,1.86354,43.9593
48,1,128,48,128,48,0,0,1.84727,42.5727
49,1,1,49,1,49,0,0,0.830041,14.1397
49,1,16,49,16,49,0,0,1.415,38.0147
49,1,32,49,32,49,0,0,1.46967,33.0311
49,1,64,49,64,49,0,0,1.45067,30.0766
49,1,128,49,128,49,0,0,1.79962,29.3489
50,1,1,50,1,50,0,0,0.803057,14.9131
50,1,16,50,16,50,0,0,1.40129,42.2109
50,1,32,50,32,50,0,0,1.42163,40.0166
50,1,64,50,64,50,0,0,1.49367,36.0821
50,1,128,50,128,50,0,0,1.83926,33.4021
51,1,1,51,1,51,0,0,1.11493,14.6377
51,1,16,51,16,51,0,0,1.48463,40.5633
51,1,32,51,32,51,0,0,1.81996,37.4414
51,1,64,51,64,51,0,0,1.82881,32.9597
51,1,128,51,128,51,0,0,1.81509,27.1897
52,1,1,52,1,52,0,0,0.827275,15.0556
52,1,16,52,16,52,0,0,1.29593,43.9733
52,1,32,52,32,52,0,0,1.47348,41.6715
52,1,64,52,64,52,0,0,1.84918,37.5528
52,1,128,52,128,52,0,0,1.80503,31.0524
53,1,1,53,1,53,0,0,0.832639,15.2462
53,1,16,53,16,53,0,0,1.38473,42.0167
53,1,32,53,32,53,0,0,1.44417,38.8865
53,1,64,53,64,53,0,0,1.48229,34.3339
53,1,128,53,128,53,0,0,1.82081,27.9453
54,1,1,54,1,54,0,0,0.837652,15.5339
54,1,16,54,16,54,0,0,1.38352,42.8468
54,1,32,54,32,54,0,0,1.44518,39.5928
54,1,64,54,64,54,0,0,1.82635,34.9455
54,1,128,54,128,54,0,0,1.79702,28.8496
55,1,1,55,1,55,0,0,1.15271,15.2684
55,1,16,55,16,55,0,0,1.36307,41.3186
55,1,32,55,32,55,0,0,1.47622,36.9112
55,1,64,55,64,55,0,0,1.87086,34.7299
55,1,128,55,128,55,0,0,1.51606,33.0214
56,1,1,56,1,56,0,0,0.830586,16.149
56,1,16,56,16,56,0,0,1.32436,46.4187
56,1,32,56,32,56,0,0,1.63566,43.8232
56,1,64,56,64,56,0,0,1.8552,40.3102
56,1,128,56,128,56,0,0,1.89037,37.5338
57,1,1,57,1,57,0,0,0.859101,15.8918
57,1,16,57,16,57,0,0,1.42626,43.7968
57,1,32,57,32,57,0,0,1.49774,40.3257
57,1,64,57,64,57,0,0,1.48203,37.5083
57,1,128,57,128,57,0,0,1.8741,35.2553
58,1,1,58,1,58,0,0,0.859211,16.1686
58,1,16,58,16,58,0,0,1.41121,45.1178
58,1,32,58,32,58,0,0,1.49894,40.9664
58,1,64,58,64,58,0,0,1.83431,38.8604
58,1,128,58,128,58,0,0,1.63998,36.2151
59,1,1,59,1,59,0,0,0.861113,16.411
59,1,16,59,16,59,0,0,1.4414,41.9147
59,1,32,59,32,59,0,0,1.47938,38.2671
59,1,64,59,64,59,0,0,1.87003,36.58
59,1,128,59,128,59,0,0,1.85126,34.6517
60,1,1,60,1,60,0,0,1.14756,16.7311
60,1,16,60,16,60,0,0,1.48669,47.7435
60,1,32,60,32,60,0,0,1.8867,44.4389
60,1,64,60,64,60,0,0,1.86879,42.8755
60,1,128,60,128,60,0,0,1.87475,39.7242
61,1,1,61,1,61,0,0,1.76329,16.4735
61,1,16,61,16,61,0,0,1.40916,44.3272
61,1,32,61,32,61,0,0,1.80489,41.5167
61,1,64,61,64,61,0,0,1.87993,39.8594
61,1,128,61,128,61,0,0,0.789357,37.6822
62,1,1,62,1,62,0,0,0.860216,17.2635
62,1,16,62,16,62,0,0,1.40976,45.0347
62,1,32,62,32,62,0,0,1.81289,42.0512
62,1,64,62,64,62,0,0,1.56485,40.5713
62,1,128,62,128,62,0,0,1.97405,38.2145
63,1,1,63,1,63,0,0,0.889141,16.9712
63,1,16,63,16,63,0,0,1.43307,42.2454
63,1,32,63,32,63,0,0,1.47893,39.6552
63,1,64,63,64,63,0,0,1.86172,38.5021
63,1,128,63,128,63,0,0,1.8715,35.3547
64,1,1,64,1,64,0,0,0.914575,16.7612
64,1,16,64,16,64,0,0,1.4834,47.2812
64,1,32,64,32,64,0,0,1.87413,45.6272
64,1,64,64,64,64,0,0,1.58061,43.6447
64,1,128,64,128,64,0,0,1.8868,42.5347
1,2,1,1,1,1,0,0,1.11137,0.86727
1,2,16,1,16,1,0,0,1.23082,3.5615
1,2,32,1,32,1,0,0,1.417,3.94461
1,2,64,1,64,1,0,0,1.41351,4.13963
1,2,128,1,128,1,0,0,1.40712,4.2607
2,2,1,2,1,2,0,0,1.1184,1.72363
2,2,16,2,16,2,0,0,1.33732,7.6571
2,2,32,2,32,2,0,0,1.35134,8.25456
2,2,64,2,64,2,0,0,1.45114,8.47123
2,2,128,2,128,2,0,0,1.42604,8.62033
3,2,1,3,1,3,0,0,0.758446,2.53149
3,2,16,3,16,3,0,0,1.27229,10.3362
3,2,32,3,32,3,0,0,1.45308,11.54
3,2,64,3,64,3,0,0,1.43741,12.2124
3,2,128,3,128,3,0,0,1.77995,12.552
4,2,1,4,1,4,0,0,1.11052,3.47171
4,2,16,4,16,4,0,0,1.15891,15.1819
4,2,32,4,32,4,0,0,1.3583,16.4245
4,2,64,4,64,4,0,0,1.44605,16.9816
4,2,128,4,128,4,0,0,1.42626,17.2379
5,2,1,5,1,5,0,0,1.13901,4.23109
5,2,16,5,16,5,0,0,1.48999,17.1813
5,2,32,5,32,5,0,0,1.46364,19.0945
5,2,64,5,64,5,0,0,1.52368,20.1698
5,2,128,5,128,5,0,0,1.44517,20.7425
6,2,1,6,1,6,0,0,0.769841,4.98804
6,2,16,6,16,6,0,0,1.38878,22.1201
6,2,32,6,32,6,0,0,1.40767,23.7726
6,2,64,6,64,6,0,0,1.87334,24.6224
6,2,128,6,128,6,0,0,1.46952,25.0807
7,2,1,7,1,7,0,0,0.789219,5.6765
7,2,16,7,16,7,0,0,1.52124,23.5597
7,2,32,7,32,7,0,0,1.38099,25.9524
7,2,64,7,64,7,0,0,1.42628,27.4327
7,2,128,7,128,7,0,0,1.47602,25.3328
8,2,1,8,1,8,0,0,0.752842,6.8009
8,2,16,8,16,8,0,0,1.38944,29.4794
8,2,32,8,32,8,0,0,1.39588,31.9645
8,2,64,8,64,8,0,0,1.41589,33.0615
8,2,128,8,128,8,0,0,1.44886,33.9383
9,2,1,9,1,9,0,0,0.772354,7.45772
9,2,16,9,16,9,0,0,1.30151,30.3124
9,2,32,9,32,9,0,0,1.49436,33.6638
9,2,64,9,64,9,0,0,1.47956,35.5936
9,2,128,9,128,9,0,0,1.46979,36.7113
10,2,1,10,1,10,0,0,1.40567,2.2765
10,2,16,10,16,10,0,0,1.41912,36.0786
10,2,32,10,32,10,0,0,1.43267,30.5972
10,2,64,10,64,10,0,0,1.45345,40.2589
10,2,128,10,128,10,0,0,1.59287,38.5872
11,2,1,11,1,11,0,0,1.19155,8.79211
11,2,16,11,16,11,0,0,1.3212,25.5562
11,2,32,11,32,11,0,0,1.39636,40.3334
11,2,64,11,64,11,0,0,1.48098,38.0289
11,2,128,11,128,11,0,0,1.70993,38.5453
12,2,1,12,1,12,0,0,1.16085,9.96364
12,2,16,12,16,12,0,0,1.70106,43.4119
